ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
135,TestTotalAgent_Origin(Clone),1,4,7,1,0
136,TestControllerAgent_MissReward(Clone),1,4,8,0,0
136,TestTotalAgent_Origin(Clone),0,0,11,4,1
137,TestControllerAgent_MissReward(Clone),1,4,8,0,0
137,TestTotalAgent_Origin(Clone),0,0,12,4,1
138,TestControllerAgent_MissReward(Clone),1,4,22,1,0
138,TestTotalAgent_Origin(Clone),0,1,24,4,1
139,TestControllerAgent_MissReward(Clone),1,4,8,1,0
139,TestTotalAgent_Origin(Clone),0,1,11,4,1
140,TestControllerAgent_MissReward(Clone),1,4,18,0,0
140,TestTotalAgent_Origin(Clone),0,0,21,4,1
141,TestControllerAgent_MissReward(Clone),1,4,5,0,0
141,TestTotalAgent_Origin(Clone),0,0,9,4,1
142,TestControllerAgent_MissReward(Clone),1,4,34,1,0
142,TestTotalAgent_Origin(Clone),0,1,41,4,1
143,TestControllerAgent_MissReward(Clone),1,4,5,0,0
143,TestTotalAgent_Origin(Clone),0,0,8,4,1
144,TestControllerAgent_MissReward(Clone),1,4,13,0,0
144,TestTotalAgent_Origin(Clone),0,0,17,4,1
145,TestControllerAgent_MissReward(Clone),1,4,6,1,0
145,TestTotalAgent_Origin(Clone),0,1,9,4,1
146,TestControllerAgent_MissReward(Clone),1,4,12,1,0
146,TestTotalAgent_Origin(Clone),0,1,14,4,1
147,TestControllerAgent_MissReward(Clone),1,4,20,2,0
147,TestTotalAgent_Origin(Clone),0,2,22,4,1
148,TestControllerAgent_MissReward(Clone),1,4,4,1,0
148,TestTotalAgent_Origin(Clone),0,1,6,4,1
149,TestControllerAgent_MissReward(Clone),0,2,13,4,1
149,TestTotalAgent_Origin(Clone),1,4,12,2,0
150,TestControllerAgent_MissReward(Clone),1,4,11,1,0
150,TestTotalAgent_Origin(Clone),0,1,12,4,1
151,TestControllerAgent_MissReward(Clone),1,4,11,0,0
151,TestTotalAgent_Origin(Clone),0,0,15,4,1
152,TestControllerAgent_MissReward(Clone),1,4,9,0,0
152,TestTotalAgent_Origin(Clone),0,0,12,4,1
153,TestControllerAgent_MissReward(Clone),1,4,6,0,0
153,TestTotalAgent_Origin(Clone),0,0,10,4,1
154,TestControllerAgent_MissReward(Clone),0,0,13,4,1
154,TestTotalAgent_Origin(Clone),1,4,10,0,0
155,TestControllerAgent_MissReward(Clone),0,1,17,4,1
155,TestTotalAgent_Origin(Clone),1,4,14,1,0
156,TestControllerAgent_MissReward(Clone),1,4,11,0,0
156,TestTotalAgent_Origin(Clone),0,0,14,4,1
157,TestControllerAgent_MissReward(Clone),1,4,7,1,0
157,TestTotalAgent_Origin(Clone),0,1,9,4,1
158,TestControllerAgent_MissReward(Clone),1,4,8,0,0
158,TestTotalAgent_Origin(Clone),0,0,12,4,1
159,TestControllerAgent_MissReward(Clone),1,4,5,0,0
