열1,열2,열3,열4,열5,열6,열7,열8
165,TestTotalAgent_MissReward(Clone),0,0,28,4,1,3684.023
166,TestControllerAgent_MissReward(Clone),1,4,21,1,0,12.65604
166,TestTotalAgent_MissReward(Clone),0,1,24,4,1,3696.679
167,TestControllerAgent_MissReward(Clone),1,4,36,2,0,23.86978
167,TestTotalAgent_MissReward(Clone),0,2,43,4,1,3720.549
168,TestControllerAgent_MissReward(Clone),1,4,49,2,0,31.56627
168,TestTotalAgent_MissReward(Clone),0,2,57,4,1,3752.114
169,TestControllerAgent_MissReward(Clone),1,4,5,0,0,4.387621
169,TestTotalAgent_MissReward(Clone),0,0,8,4,1,3756.502
170,TestControllerAgent_MissReward(Clone),1,4,86,0,0,47.10136
170,TestTotalAgent_MissReward(Clone),0,0,90,4,1,3803.603
171,TestControllerAgent_MissReward(Clone),1,4,24,3,0,14.26171
171,TestTotalAgent_MissReward(Clone),0,3,25,4,1,3817.866
172,TestControllerAgent_MissReward(Clone),1,4,40,0,0,25.00013
172,TestTotalAgent_MissReward(Clone),0,0,47,4,1,3842.864
173,TestControllerAgent_MissReward(Clone),1,4,23,2,0,13.51815
173,TestTotalAgent_MissReward(Clone),0,2,24,4,1,3856.382
174,TestControllerAgent_MissReward(Clone),1,4,18,2,0,11.42671
174,TestTotalAgent_MissReward(Clone),0,2,20,4,1,3867.808
175,TestControllerAgent_MissReward(Clone),1,4,44,2,0,24.21001
175,TestTotalAgent_MissReward(Clone),0,2,44,4,1,3892.019
176,TestControllerAgent_MissReward(Clone),0,0,109,1,0,60.03645
176,TestTotalAgent_MissReward(Clone),0,1,115,0,0,3952.055
177,TestControllerAgent_MissReward(Clone),0,1,97,0,0,60.01584
177,TestTotalAgent_MissReward(Clone),0,0,116,1,0,4012.068
178,TestControllerAgent_MissReward(Clone),1,4,28,0,0,18.2478
178,TestTotalAgent_MissReward(Clone),0,0,35,4,1,4030.317
179,TestControllerAgent_MissReward(Clone),1,4,7,0,0,5.420394
179,TestTotalAgent_MissReward(Clone),0,0,10,4,1,4035.737
180,TestControllerAgent_MissReward(Clone),1,4,30,0,0,17.12561
180,TestTotalAgent_MissReward(Clone),0,0,33,4,1,4052.863
181,TestControllerAgent_MissReward(Clone),1,4,20,1,0,16.81897
181,TestTotalAgent_MissReward(Clone),0,1,30,4,1,4069.682
182,TestControllerAgent_MissReward(Clone),1,4,17,1,0,10.98996
182,TestTotalAgent_MissReward(Clone),0,1,19,4,1,4080.672
183,TestControllerAgent_MissReward(Clone),1,4,13,2,0,8.433398
183,TestTotalAgent_MissReward(Clone),0,2,14,4,1,4089.105
184,TestControllerAgent_MissReward(Clone),1,4,33,0,0,21.99257
184,TestTotalAgent_MissReward(Clone),0,0,42,4,1,4111.097
185,TestControllerAgent_MissReward(Clone),1,4,11,0,0,10.48038
185,TestTotalAgent_MissReward(Clone),0,0,20,4,1,4121.577
186,TestControllerAgent_MissReward(Clone),1,4,7,0,0,5.506615
186,TestTotalAgent_MissReward(Clone),0,0,10,4,1,4127.083
187,TestControllerAgent_MissReward(Clone),1,4,31,0,0,17.57962
187,TestTotalAgent_MissReward(Clone),0,0,34,4,1,4144.661
188,TestControllerAgent_MissReward(Clone),1,4,6,0,0,5.078619
188,TestTotalAgent_MissReward(Clone),0,0,10,4,1,4149.74
189,TestControllerAgent_MissReward(Clone),1,4,17,0,0,10.52206
189,TestTotalAgent_MissReward(Clone),0,0,20,4,1,4160.26
190,TestControllerAgent_MissReward(Clone),1,4,21,3,0,12.55187
190,TestTotalAgent_MissReward(Clone),0,3,21,4,1,4172.814
191,TestControllerAgent_MissReward(Clone),1,4,32,1,0,19.12774
191,TestTotalAgent_MissReward(Clone),0,1,35,4,1,4191.942
192,TestControllerAgent_MissReward(Clone),1,4,16,3,0,14.43137
192,TestTotalAgent_MissReward(Clone),0,3,24,4,1,4206.374
193,TestControllerAgent_MissReward(Clone),1,4,3,0,0,3.996515
193,TestTotalAgent_MissReward(Clone),0,0,8,4,1,4210.371
194,TestControllerAgent_MissReward(Clone),1,4,55,0,0,45.59715
194,TestTotalAgent_MissReward(Clone),0,0,88,4,1,4255.971
195,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.523798
195,TestTotalAgent_MissReward(Clone),0,0,15,4,1,4263.496
196,TestControllerAgent_MissReward(Clone),1,4,9,0,0,9.337672
196,TestTotalAgent_MissReward(Clone),0,0,17,4,1,4272.833
197,TestControllerAgent_MissReward(Clone),1,4,10,3,0,6.983531
197,TestTotalAgent_MissReward(Clone),0,3,10,4,1,4279.818
